Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow
2012-04-29,263.43,7414,9.17,100.37,612.78,4201,10.23,101.45,593.81,5982,11.66,101.03,972.59,13097,8.84,99.54,1145.05,12413,7.51,99.48,1358.76,15481,10.26,100.56,701.52,3020,7.56,100.87,804.92,3993,12.55,100.15,2221.21,14507,8.15,100.17
2012-05-06,264.4,7663,8.93,100.36,609.96,4240,10.12,101.36,613.81,6144,11.58,101.03,985.12,13329,8.71,99.53,1181.35,12471,7.78,99.53,1350.67,16674,9.44,100.54,710.91,3032,7.63,100.87,821.48,4080,12.59,100.19,2206.63,14971,7.84,100.14
2012-05-13,254,7625,8.6,100.33,551.32,4243,9.24,101.23,560.75,6032,10.83,100.96,932.06,12756,8.68,99.5,1095.79,12432,7.21,99.46,1301.93,16520,9.14,100.5,692.21,3051,7.39,100.87,813,4076,12.46,100.2,2149.43,14968,7.65,100.15
2012-05-20,235.85,7623,7.99,100.3,532.66,4234,8.84,101.13,519.9,5980,10.25,100.91,874.41,12743,8.13,99.47,1054.7,12248,7.06,99.47,1181.39,16460,8.26,100.44,644.52,3064,6.85,100.82,775.64,4211,11.51,100.19,2007.07,14984,7.12,100.14
2012-05-27,241.6,7614,8.2,100.3,568.67,4215,9.48,101.19,531.67,6000,10.48,100.93,887.37,12673,8.23,99.49,1076.93,12212,7.22,99.54,1206.42,16451,8.57,100.42,657.74,3059,6.99,100.81,775.73,4225,11.49,100.18,2042.73,14967,7.25,100.13
2012-06-03,242.98,7717,8.14,100.29,549.5,4278,9.08,101.02,538.33,6119,10.4,100.89,877.32,12853,8.08,99.46,1058.43,12333,7.04,99.46,1224.81,16780,8.49,100.43,661.08,3058,7.04,100.83,791.17,4324,11.42,100.2,2071.67,15138,7.27,100.13
2012-06-10,243.69,7734,8.16,100.29,538.11,4268,8.94,101.03,537.79,6018,10.57,100.9,902.24,13222,8.31,99.51,1032.91,12278,6.89,99.48,1240.54,16896,8.54,100.45,670.59,3061,7.13,100.82,806.17,4303,11.72,100.2,2029.97,15139,7.14,100.1
2012-06-17,246.57,7753,8.29,100.3,552.35,4240,9.22,101.08,556.91,6088,10.79,100.93,936.75,13354,8.52,99.56,1097.4,11999,7.42,99.61,1245.74,16826,8.46,100.36,682.39,3061,7.24,100.87,802.54,4399,11.72,100.21,2062.97,15193,7.32,100.14
2012-06-24,244.15,7751,8.23,100.22,549.3,4230,9.24,101.02,552.69,6119,10.65,100.8,911.17,13369,8.32,99.5,1077.44,11752,7.44,99.49,1239.61,16886,8.28,100.22,665.19,3073,7.05,100.81,816.26,4392,11.96,100.23,2081.16,15223,7.39,100.1
2012-07-01,244.9,7696,8.31,100.24,552.6,4191,9.4,101.07,549.22,5983,10.79,100.77,917.18,13404,8.25,99.5,1091.16,11463,7.73,99.51,1247.41,16809,8.41,100.26,674.77,3060,7.18,100.85,828.4,4320,12.31,100.29,2037.34,15242,7.22,100.08
2012-07-08,245.07,7751,8.27,100.23,569.06,4201,9.65,101.05,565.9,5943,11.15,100.78,927.11,13541,8.33,99.49,1140.75,11184,8.3,99.55,1241.48,17155,8.08,100.2,674.29,3040,7.23,100.85,824.59,4432,11.93,100.31,2023.51,15401,7.11,100.05
2012-07-15,238.77,7737,8.07,100.24,540.38,4174,9.23,101.07,532.4,5950,10.49,100.61,900.74,13518,8.05,99.47,1103.02,11066,8.11,99.56,1202.39,17166,7.87,100.25,650.04,3037,7,100.83,836.8,4411,12.11,100.32,1991.12,15400,7,100.09
2012-07-22,240.35,7730,8.13,100.25,533.5,4125,9.22,101.08,520.9,5886,10.3,100.58,907.71,13541,8.07,99.47,1131.91,11081,8.31,99.61,1205.31,17176,8.06,100.28,632.52,3023,6.86,100.78,835.04,4369,12.26,100.33,2010.17,15450,7.02,100.13
2012-07-29,242.23,7644,8.3,100.33,518.17,4060,9.12,101.15,510.29,5784,10.3,100.63,907.14,13033,8.39,99.49,1118.65,11354,8.32,99.74,1234.51,16808,8.49,100.44,630.13,2996,6.9,100.83,840.61,4281,12.56,100.33,2021.15,15485,7.05,100.15
2012-08-05,244.81,7666,8.37,100.33,530.4,4128,9.21,101.14,530.2,5837,10.62,100.61,907.54,13052,8.43,99.5,1139.06,11343,8.48,99.74,1247.58,16978,8.49,100.45,630.72,2941,7.05,100.8,849.95,4344,12.49,100.36,2027.73,15533,7.06,100.13
2012-08-12,258.91,7620,8.89,100.37,574.66,4066,10.03,101.2,559.05,5790,11.23,100.62,962.15,12924,9.01,99.56,1205.32,11337,8.99,99.77,1299.35,16931,9.08,100.47,674.43,2918,7.57,100.85,854.52,4240,12.85,100.37,2148.56,15499,7.49,100.2
2012-08-19,258.2,7567,8.94,100.4,581.69,4066,10.15,101.29,563.81,5518,11.87,100.66,974.77,12889,9.12,99.6,1230.62,11353,9.19,99.92,1286.14,16856,8.88,100.43,675.57,2906,7.63,100.89,874.9,4096,13.64,100.39,2146.87,15478,7.49,100.25
2012-08-26,253.73,7534,8.83,100.38,555.62,4042,9.75,101.22,546.47,5442,11.67,100.6,962.46,12829,8.96,99.57,1193.18,11324,8.92,99.91,1269.56,16819,8.77,100.42,662.08,2896,7.51,100.83,885.29,4002,14.16,100.41,2112.22,15468,7.39,100.24
2012-09-02,250.56,7506,8.78,100.36,557.23,4022,9.96,101.22,532.62,5375,11.67,100.53,958.54,12654,9,99.56,1170.26,11294,8.76,99.89,1259.47,16808,8.62,100.41,657.9,2888,7.49,100.8,887.6,3985,14.27,100.4,2104.21,15459,7.36,100.22
2012-09-09,254.02,7579,8.8,100.44,582.38,4086,10.18,101.44,548.97,5470,11.81,100.62,976.13,12277,9.08,99.57,1205.24,11443,8.92,99.99,1294.04,17085,8.65,100.54,669.94,2877,7.66,100.85,887.69,4149,13.69,100.39,2088.83,15562,7.25,100.25
2012-09-16,265.02,7560,9.2,100.58,612.23,4058,10.74,101.67,568.01,5437,12.38,100.82,1035.86,12261,9.57,99.74,1234.27,11359,9.2,100.21,1341.34,17435,9.14,100.68,702.95,2864,8.05,100.96,903.71,3996,14.32,100.4,2173.8,15554,7.55,100.42
2012-09-23,263.41,7542,9.17,100.6,599.69,4044,10.55,101.67,566.54,5403,12.33,100.84,1046.62,12389,9.53,99.77,1220.7,11354,9.1,100.21,1330.18,17409,8.98,100.68,709.48,2836,8.2,100.97,930.28,3985,14.84,100.47,2145.9,15545,7.46,100.43
